open_time,open,high,low,close,volume
2020-01-01 00:00:00+00:00,128.93,132.93,128.82,130.52,419.85641
2020-01-02 00:00:00+00:00,130.42,130.53,126.66,127.22,298.29122
2020-01-03 00:00:00+00:00,127.08,134.88,126.06,133.95,513.53291
2020-01-04 00:00:00+00:00,134.79,135.83,132.68,134.02,87.49993
2020-01-05 00:00:00+00:00,134.84,138.51,134.39,135.23,275.28558
2020-01-06 00:00:00+00:00,135.24,144.52,135.24,143.98,624.32469
2020-01-07 00:00:00+00:00,144.55,145.4,138.99,142.89,1476.11643
2020-01-08 00:00:00+00:00,142.94,147.78,137.55,140.89,710.02555
2020-01-09 00:00:00+00:00,140.51,141.36,135.63,138.08,510.43894
2020-01-10 00:00:00+00:00,137.71,144.85,135.59,144.32,1092.59512
2020-01-11 00:00:00+00:00,144.24,147.69,142.15,142.74,296.22261
2020-01-12 00:00:00+00:00,142.01,146.12,141.96,146.07,250.31463
2020-01-13 00:00:00+00:00,146.32,147.07,142.55,143.9,424.57906
2020-01-14 00:00:00+00:00,143.5,170.85,143.5,166.38,3495.88198
2020-01-15 00:00:00+00:00,165.44,171.75,159.41,165.91,1967.84328
2020-01-16 00:00:00+00:00,165.59,165.72,158.62,164.43,685.02791
2020-01-17 00:00:00+00:00,164.63,174.22,163.04,170.21,1701.68023
2020-01-18 00:00:00+00:00,170.01,179.0,165.28,174.19,1535.67838
2020-01-19 00:00:00+00:00,174.29,178.23,162.77,166.83,1746.77142
2020-01-20 00:00:00+00:00,167.14,169.0,161.56,166.85,775.89315
2020-01-21 00:00:00+00:00,166.9,170.08,165.12,169.19,1654.97278
2020-01-22 00:00:00+00:00,169.78,171.34,166.27,168.22,590.70276
2020-01-23 00:00:00+00:00,168.23,168.29,159.63,162.9,1216.70292
2020-01-24 00:00:00+00:00,163.13,164.52,155.7,162.34,433.32051
2020-01-25 00:00:00+00:00,161.78,162.44,157.91,160.63,744.22533
2020-01-26 00:00:00+00:00,160.26,168.0,159.62,167.85,434.89771
2020-01-27 00:00:00+00:00,168.34,172.01,165.93,170.28,1158.97031
2020-01-28 00:00:00+00:00,170.54,176.52,170.45,175.91,673.12846
2020-01-29 00:00:00+00:00,175.99,178.33,173.49,173.86,834.19123
2020-01-30 00:00:00+00:00,173.86,187.02,171.0,184.41,798.76881
2020-01-31 00:00:00+00:00,184.67,185.65,175.35,179.53,492.91024
2020-02-01 00:00:00+00:00,179.43,184.37,179.35,183.75,290.87676
2020-02-02 00:00:00+00:00,183.19,193.5,179.52,188.65,559.78512
2020-02-03 00:00:00+00:00,188.07,195.54,187.12,190.15,764.0057
2020-02-04 00:00:00+00:00,190.55,191.45,185.0,189.06,625.08286
2020-02-05 00:00:00+00:00,188.89,207.52,188.21,203.85,1082.64183
2020-02-06 00:00:00+00:00,203.9,216.18,201.0,213.28,1152.74338
2020-02-07 00:00:00+00:00,213.39,224.58,213.39,223.52,1269.86538
2020-02-08 00:00:00+00:00,223.53,227.74,213.67,223.44,911.28269
2020-02-09 00:00:00+00:00,223.69,230.74,223.35,228.16,552.12199
2020-02-10 00:00:00+00:00,229.09,229.22,216.68,223.3,367.23964
2020-02-11 00:00:00+00:00,223.03,238.68,218.42,237.19,894.37749
2020-02-12 00:00:00+00:00,237.03,275.26,237.03,265.53,1558.62421
2020-02-13 00:00:00+00:00,265.55,278.15,257.21,268.96,2820.67236
2020-02-14 00:00:00+00:00,268.96,287.2,260.85,285.68,1068.3735
2020-02-15 00:00:00+00:00,285.7,288.41,262.24,265.05,2263.09522
2020-02-16 00:00:00+00:00,264.84,273.58,237.53,259.15,2904.47391
2020-02-17 00:00:00+00:00,259.06,269.61,242.44,267.94,2220.66277
2020-02-18 00:00:00+00:00,268.39,285.69,259.21,282.08,2072.07273
2020-02-19 00:00:00+00:00,282.93,286.86,251.84,258.8,2751.43928
2020-02-20 00:00:00+00:00,257.85,264.13,246.04,257.81,2939.15436
2020-02-21 00:00:00+00:00,257.0,267.98,254.22,266.54,669.49191
2020-02-22 00:00:00+00:00,264.44,266.67,256.36,261.81,460.38273
2020-02-23 00:00:00+00:00,262.04,275.26,261.11,274.94,996.07438
2020-02-24 00:00:00+00:00,274.94,276.98,257.5,265.83,1533.77477
2020-02-25 00:00:00+00:00,265.92,266.2,244.64,246.36,1022.81352
2020-02-26 00:00:00+00:00,247.49,249.72,215.95,223.91,2046.43004
2020-02-27 00:00:00+00:00,223.28,238.21,210.07,227.26,3034.41462
2020-02-28 00:00:00+00:00,227.8,234.76,214.33,226.66,1914.29499
2020-02-29 00:00:00+00:00,228.68,232.92,216.95,216.95,605.28554
2020-03-01 00:00:00+00:00,218.92,226.54,212.89,218.0,847.41527
2020-03-02 00:00:00+00:00,218.0,234.25,216.31,231.49,1319.55097
2020-03-03 00:00:00+00:00,232.03,232.14,220.15,223.78,1171.48179
2020-03-04 00:00:00+00:00,223.77,228.58,220.35,224.21,1239.3893
2020-03-05 00:00:00+00:00,224.51,233.88,224.37,228.6,2466.55249
2020-03-06 00:00:00+00:00,228.05,245.3,227.71,245.3,2517.88507
2020-03-07 00:00:00+00:00,246.46,251.78,236.42,236.79,996.4258
2020-03-08 00:00:00+00:00,236.59,236.65,195.81,199.0,3861.77435
2020-03-09 00:00:00+00:00,199.81,208.28,190.05,202.94,2625.20342
2020-03-10 00:00:00+00:00,203.69,205.92,196.0,200.44,846.97272
2020-03-11 00:00:00+00:00,200.62,202.69,181.8,194.49,1650.75888
2020-03-12 00:00:00+00:00,195.12,250.0,101.0,108.65,13000.77513
2020-03-13 00:00:00+00:00,107.87,139.7,64.39,133.27,19549.31514
2020-03-14 00:00:00+00:00,134.27,134.63,121.41,122.3,1764.13337
2020-03-15 00:00:00+00:00,122.59,133.41,120.64,123.7,2463.03128
2020-03-16 00:00:00+00:00,123.21,123.83,101.95,110.4,5198.22665
2020-03-17 00:00:00+00:00,111.66,120.58,109.23,116.17,1513.23269
2020-03-18 00:00:00+00:00,115.3,118.2,110.47,117.95,895.99068
2020-03-19 00:00:00+00:00,119.13,142.71,115.98,136.75,1864.62545
2020-03-20 00:00:00+00:00,137.02,152.03,117.44,132.8,4890.83845
2020-03-21 00:00:00+00:00,132.33,137.21,126.15,132.4,3332.07633
2020-03-22 00:00:00+00:00,131.78,136.41,121.43,122.34,3354.95937
2020-03-23 00:00:00+00:00,121.69,136.15,119.41,135.97,2349.19963
2020-03-24 00:00:00+00:00,136.22,142.84,132.62,138.67,1431.65673
2020-03-25 00:00:00+00:00,137.76,142.18,132.7,136.27,785.72493
2020-03-26 00:00:00+00:00,136.37,139.51,133.87,138.36,1073.85174
2020-03-27 00:00:00+00:00,138.73,140.82,130.17,131.21,2572.57565
2020-03-28 00:00:00+00:00,131.2,132.3,125.08,131.03,3006.63862
2020-03-29 00:00:00+00:00,131.03,131.58,124.11,124.5,1102.66091
2020-03-30 00:00:00+00:00,124.28,135.08,124.28,132.05,1205.00498
2020-03-31 00:00:00+00:00,132.05,134.74,130.49,132.85,3971.60144
